epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.363,1.23586,3.20966,1.3762,0.00131,0.20465,0.01029,0.00398,2.80891,4.58826,3.24033,0.08614,0.00014,0.00014
2,364.268,1.33609,2.84863,1.40739,0.00277,0.43062,0.04769,0.02665,1.86545,3.97685,2.12491,0.0712871,0.000287129,0.000287129
3,523.679,1.38895,2.65575,1.41591,0.53326,0.0167,0.07639,0.04209,1.52241,3.64076,1.75451,0.0564313,0.000431288,0.000431288
4,923.785,1.35011,2.47679,1.41085,0.36925,0.08492,0.10674,0.05729,1.61828,3.37358,1.81872,0.0415725,0.000572477,0.000572477
5,1075.43,1.39348,2.50071,1.47151,0.39172,0.16157,0.10413,0.05836,1.46052,3.30715,1.83096,0.0267107,0.000710696,0.000710696
6,1224.83,1.29192,2.33835,1.40627,0.07517,0.16251,0.07745,0.03833,1.45139,3.10423,1.77769,0.0118459,0.000845945,0.000845945
7,1384.58,1.31726,2.25716,1.42315,0.33781,0.18715,0.13146,0.0665,1.54824,4.09981,1.781,0.0009406,0.0009406,0.0009406
8,1569.36,1.30709,2.23178,1.40943,0.1282,0.33346,0.10345,0.05556,1.35938,3.72258,1.59929,0.0009307,0.0009307,0.0009307
9,1748.1,1.28624,2.1874,1.38591,0.11013,0.32833,0.09447,0.05102,1.34889,3.68578,1.65214,0.0009208,0.0009208,0.0009208
10,3100.04,1.2465,2.1042,1.34902,0.22124,0.23325,0.14485,0.07462,1.43552,3.55526,1.75919,0.0009109,0.0009109,0.0009109
11,3250.73,1.2278,2.03265,1.33378,0.1347,0.24509,0.11291,0.0524,1.44081,3.68823,1.67682,0.000901,0.000901,0.000901
12,3397.46,1.20475,1.88177,1.32707,0.22616,0.1948,0.14625,0.05935,1.68852,3.5549,1.84154,0.0008911,0.0008911,0.0008911
13,3543.78,1.26911,1.91692,1.39504,0.12307,0.31555,0.1381,0.06333,1.66209,3.45673,1.77485,0.0008812,0.0008812,0.0008812
14,3691.92,1.18342,1.79969,1.32259,0.18857,0.28881,0.15969,0.08146,1.57943,2.65821,1.67652,0.0008713,0.0008713,0.0008713
15,3838.7,1.19241,1.77395,1.27195,0.50341,0.22168,0.19074,0.10559,1.29494,2.82914,1.50279,0.0008614,0.0008614,0.0008614
16,3985.58,1.17718,1.68199,1.27665,0.18167,0.34382,0.22246,0.13045,1.21465,2.59582,1.48888,0.0008515,0.0008515,0.0008515
17,4142.88,1.20002,1.69655,1.3023,0.21685,0.27753,0.2055,0.12463,1.26403,2.45595,1.47984,0.0008416,0.0008416,0.0008416
18,4301.39,1.19081,1.7254,1.31325,0.16757,0.35136,0.24064,0.14498,1.21284,2.21611,1.41586,0.0008317,0.0008317,0.0008317
19,4466.64,1.16389,1.66079,1.32934,0.27576,0.31327,0.19864,0.10783,1.30118,2.38579,1.50817,0.0008218,0.0008218,0.0008218
20,4622.02,1.16633,1.61705,1.27434,0.24432,0.49366,0.24294,0.12399,1.2158,2.49679,1.43298,0.0008119,0.0008119,0.0008119
21,4782.11,1.13296,1.59808,1.30643,0.33385,0.41178,0.28462,0.1473,1.22938,2.28732,1.44494,0.000802,0.000802,0.000802
22,4943.03,1.09636,1.51308,1.28815,0.33795,0.17698,0.17873,0.09942,1.36953,2.59647,1.55759,0.0007921,0.0007921,0.0007921
23,5658.32,1.15644,1.5181,1.28902,0.43739,0.18925,0.19606,0.10836,1.36248,2.62399,1.61564,0.0007822,0.0007822,0.0007822
24,5818.93,1.09931,1.4523,1.2735,0.40949,0.23554,0.20894,0.1205,1.29822,2.39371,1.57146,0.0007723,0.0007723,0.0007723
25,5978.39,1.10122,1.39982,1.24024,0.26846,0.3738,0.22063,0.1361,1.19224,2.28397,1.44655,0.0007624,0.0007624,0.0007624
26,6128.24,1.09856,1.36666,1.26523,0.32954,0.40099,0.2431,0.13721,1.30333,2.37883,1.53862,0.0007525,0.0007525,0.0007525
27,6271.99,1.10141,1.36561,1.2402,0.24431,0.42745,0.24462,0.13908,1.28767,2.37777,1.53067,0.0007426,0.0007426,0.0007426
28,6420.33,1.06696,1.33559,1.25207,0.25974,0.35721,0.25661,0.15669,1.24746,2.3266,1.48918,0.0007327,0.0007327,0.0007327
29,6582.83,1.08206,1.29287,1.25868,0.25221,0.38753,0.27913,0.1588,1.3267,2.52668,1.54351,0.0007228,0.0007228,0.0007228
30,6732.2,1.03822,1.27564,1.20827,0.22022,0.33216,0.24681,0.14445,1.34176,2.50631,1.56172,0.0007129,0.0007129,0.0007129
31,6878.85,1.05143,1.28806,1.24877,0.26831,0.30122,0.25951,0.14423,1.30051,2.43862,1.53556,0.000703,0.000703,0.000703
